optimizer,escaped,escape_iteration,final_x,final_y,final_loss
SGD,False,120,-0.00020894183623045958,-0.0020168732499064044,-1.8754189095117635e-06
SGD+Momentum,True,100,-0.0012153252710676362,-1.950000066891078,-1.6775799765976942
Adam,True,50,0.0013134133589349061,-1.70091181862075,-1.418719502015343
