epoch,train_loss,train_acc,val_loss,val_acc,seed
1,1.3855866374955936,49.193333333333335,1.2299882113933562,56.72,42
2,0.9423219363459132,66.59777777777778,0.9821997612714768,64.92,42
3,0.7508183691481297,73.74444444444444,0.7714718312025071,72.94,42
4,0.6422370762818239,77.73555555555555,0.7970118463039398,73.6,42
5,0.5585665463215925,80.6288888888889,0.7293583154678345,75.6,42
6,0.5172174058177255,82.22888888888889,0.6799484848976135,76.2,42
7,0.4691562161526896,83.77111111111111,0.5548182234168053,81.28,42
8,0.4351720914921977,85.14444444444445,0.5907633483409882,79.8,42
9,0.4026671513407068,86.2311111111111,0.4519273951649666,84.52,42
10,0.3737878756682304,87.05777777777777,0.5247319146990777,82.26,42
11,0.3478839486329393,87.85111111111111,0.5122907549142838,82.74,42
12,0.3333749734711917,88.39111111111112,0.4131994545459747,86.56,42
13,0.3060795809353955,89.41555555555556,0.3993450611829757,86.54,42
14,0.2929472953335128,89.92888888888889,0.4183390542864799,85.82,42
15,0.2766986332664435,90.28666666666666,0.4040937602519989,86.6,42
16,0.2552996914071793,91.24888888888889,0.492494449019432,83.86,42
17,0.2489537680733271,91.45333333333332,0.3937209919095039,87.26,42
18,0.23641838719645,91.85111111111112,0.4062655910849571,85.64,42
19,0.2213066386439922,92.31111111111112,0.3611167266964912,87.52,42
20,0.2123645315878093,92.68444444444444,0.5428201749920845,83.5,42
