epoch,train_loss,train_acc,val_loss,val_acc,seed
1,1.3966032258150252,48.40222222222222,1.1166916996240617,59.82,2021
2,0.94823883948001,66.18444444444444,0.8810364872217178,68.46,2021
3,0.7520163206552918,73.6288888888889,0.7523778736591339,73.62,2021
4,0.6414638892324134,77.85555555555555,0.7732004880905151,73.36,2021
5,0.563385436904024,80.3711111111111,0.6076636016368866,78.9,2021
6,0.5081961552866481,82.39777777777778,0.6352073371410369,78.82,2021
7,0.4638795019550757,83.99555555555555,0.5930467799305916,80.04,2021
8,0.4244884669103406,85.53333333333333,0.699560534954071,77.0,2021
9,0.3924157406118783,86.39111111111112,0.4601417899131775,84.16,2021
10,0.3685222951779989,87.30444444444444,0.4650743752717972,83.92,2021
11,0.3409128395247865,88.16222222222223,0.4569612354040145,84.02,2021
12,0.3215351841751147,88.85777777777778,0.4723807245492935,83.72,2021
13,0.3069949094629423,89.56666666666666,0.4645225182175636,84.36,2021
14,0.282823394687677,90.19333333333331,0.4442265078425407,85.34,2021
15,0.2766146440778605,90.32666666666668,0.3998742580413818,86.54,2021
16,0.2526761033699255,91.42666666666666,0.3963479325175285,86.74,2021
17,0.2429113092366606,91.60444444444444,0.4879096239805222,84.12,2021
18,0.2339572556401518,91.95333333333332,0.3523765623569488,88.26,2021
19,0.2159106086050583,92.55555555555556,0.3826470777392387,87.48,2021
20,0.2115799332122233,92.58666666666667,0.3637838467955589,87.38,2021
