epoch,train_loss,train_acc,val_loss,val_acc,seed
1,1.415912455117161,47.88444444444445,1.2068569242954257,56.92,1415
2,0.9550930356437508,66.04666666666667,0.9557174950838088,66.46,1415
3,0.7607292539694093,73.54888888888888,0.7824362844228745,72.38,1415
4,0.6429731125350703,77.79555555555555,0.7076501548290253,75.24,1415
5,0.5667289991609075,80.34,0.6407774716615677,78.34,1415
6,0.5132552346383984,82.15555555555555,0.634253641963005,77.56,1415
7,0.468221560543911,83.81111111111112,0.6074956089258194,78.92,1415
8,0.4328608196228742,85.08,0.5137340039014816,82.4,1415
9,0.3996240154586055,86.33333333333333,0.5406662613153458,81.66,1415
10,0.3768014940856533,87.06888888888889,0.5456390038132668,82.02,1415
11,0.3457646182399582,88.01333333333334,0.4545315757393837,84.04,1415
12,0.3313799489882182,88.58666666666667,0.4425539001822471,85.08,1415
13,0.3055859305895865,89.30222222222223,0.4316370025277137,85.56,1415
14,0.2931790481406179,89.84,0.4158508896827698,86.08,1415
15,0.2738986445421522,90.57111111111112,0.4283603027462959,85.54,1415
16,0.2582677528262138,90.98666666666666,0.4212249249219894,85.6,1415
17,0.246114269957285,91.38888888888889,0.4335440576076507,85.44,1415
18,0.2326012445952404,91.93333333333334,0.4363412007689476,85.62,1415
19,0.2204269301569597,92.42,0.3484115436673164,88.68,1415
20,0.2103672952560538,92.78888888888888,0.334871207177639,88.94,1415
