epoch,optimizer,seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,final_test_acc
1,SGD_Momentum,2021,1.6476107917048717,38.80888888888889,1.338899689912796,51.14,0.5822633542120457,82.47,82.47
2,SGD_Momentum,2021,1.152291827411814,58.61555555555555,1.1607294887304307,60.28,0.5822633542120457,82.47,82.47
3,SGD_Momentum,2021,0.8827443133023652,69.04,0.9462491601705552,66.06,0.5822633542120457,82.47,82.47
4,SGD_Momentum,2021,0.7316648535091769,74.40666666666667,0.783720725774765,72.22,0.5822633542120457,82.47,82.47
5,SGD_Momentum,2021,0.6336796680804003,78.0,0.6208831995725632,78.38,0.5822633542120457,82.47,82.47
6,SGD_Momentum,2021,0.5590164305811579,80.66888888888889,0.6580482020974159,77.14,0.5822633542120457,82.47,82.47
7,SGD_Momentum,2021,0.5040271614932201,82.62666666666667,0.5744933158159256,79.86,0.5822633542120457,82.47,82.47
8,SGD_Momentum,2021,0.4615603344176303,84.08222222222223,0.6258527681231498,78.48,0.5822633542120457,82.47,82.47
9,SGD_Momentum,2021,0.4166864165612919,85.54888888888888,0.51499724984169,82.2,0.5822633542120457,82.47,82.47
10,SGD_Momentum,2021,0.3884999443438243,86.7088888888889,0.6218649238348007,79.12,0.5822633542120457,82.47,82.47
11,SGD_Momentum,2021,0.3591981252062727,87.49111111111111,0.4461356073617935,84.6,0.5822633542120457,82.47,82.47
12,SGD_Momentum,2021,0.338545055128634,88.28666666666666,0.4620183140039444,84.12,0.5822633542120457,82.47,82.47
13,SGD_Momentum,2021,0.3174823005260391,88.92444444444445,0.4762826189398765,83.94,0.5822633542120457,82.47,82.47
14,SGD_Momentum,2021,0.2974835226566277,89.77555555555556,0.5231276407837868,83.08,0.5822633542120457,82.47,82.47
15,SGD_Momentum,2021,0.281318974702365,90.36444444444444,0.4194045484066009,85.68,0.5822633542120457,82.47,82.47
16,SGD_Momentum,2021,0.2628406970338388,90.85777777777778,0.4213410466909408,85.88,0.5822633542120457,82.47,82.47
17,SGD_Momentum,2021,0.2512271526608277,91.42444444444445,0.4812713250517845,83.9,0.5822633542120457,82.47,82.47
18,SGD_Momentum,2021,0.2407081187702715,91.58444444444444,0.38804761916399,86.64,0.5822633542120457,82.47,82.47
19,SGD_Momentum,2021,0.2259064715313301,92.13111111111112,0.4554636880755424,85.0,0.5822633542120457,82.47,82.47
20,SGD_Momentum,2021,0.2154029194815931,92.57333333333334,0.54186010658741,83.26,0.5822633542120457,82.47,82.47
