iteration,loss,grad_norm
0,2.272902250289917,3.017991781234741
1,1.9697465896606445,2.8082854747772217
2,1.70229971408844,2.6093053817749023
3,1.4681038856506348,2.422211170196533
4,1.263832449913025,2.246826648712158
5,1.0868427753448486,2.083177328109741
6,0.934764564037323,1.9315096139907837
7,0.8049567937850952,1.7918193340301514
8,0.6945170760154724,1.6636508703231812
9,0.6005798578262329,1.5462418794631958
10,0.5207473635673523,1.4389768838882446
11,0.45313912630081177,1.3415396213531494
12,0.39615753293037415,1.2536870241165161
13,0.3482806384563446,1.1749595403671265
14,0.30803945660591125,1.1046158075332642
15,0.27409276366233826,1.0417475700378418
16,0.2452702671289444,0.9853848814964294
17,0.2205749899148941,0.9345473051071167
18,0.19917850196361542,0.8882883191108704
19,0.1804274022579193,0.8457667231559753
20,0.16382811963558197,0.806290864944458
21,0.1489943265914917,0.7692665457725525
22,0.13559922575950623,0.7341312170028687
23,0.12336859852075577,0.7003770470619202
24,0.1121048778295517,0.667644739151001
25,0.10169858485460281,0.6357936859130859
26,0.09210582077503204,0.6048710346221924
27,0.08330762386322021,0.5750083327293396
28,0.0752825140953064,0.5463384389877319
29,0.06800270080566406,0.5189810395240784
30,0.061436690390110016,0.49304887652397156
31,0.05554363876581192,0.46861955523490906
32,0.05026237294077873,0.4456699788570404
33,0.04550795629620552,0.4240321218967438
34,0.04118579253554344,0.4034295976161957
35,0.03721361234784126,0.383574515581131
36,0.03353504091501236,0.36425235867500305
37,0.030117744579911232,0.34534353017807007
38,0.026944154873490334,0.32679763436317444
39,0.02400476485490799,0.3086123764514923
40,0.02129719965159893,0.29083937406539917
41,0.018825797364115715,0.2735934257507324
42,0.01659565232694149,0.25702589750289917
43,0.014604142867028713,0.2412610799074173
44,0.012836194597184658,0.2263401299715042
45,0.01126832515001297,0.21222329139709473
46,0.009877443313598633,0.19884666800498962
47,0.008646144531667233,0.18617478013038635
48,0.007561621721833944,0.17420616745948792
49,0.0066122980788350105,0.16295351088047028
50,0.005786590743809938,0.15243595838546753
51,0.005073192995041609,0.14268071949481964
52,0.004460979253053665,0.13371440768241882
53,0.003938775043934584,0.12554802000522614
54,0.003495162120088935,0.11816337704658508
55,0.0031178102362900972,0.11149568855762482
56,0.0027936184778809547,0.10543274134397507
57,0.0025111644063144922,0.0998610407114029
58,0.0022631664760410786,0.09472090750932693
59,0.002045433269813657,0.08999445289373398
60,0.001853875000961125,0.08564432710409164
61,0.0016839613672345877,0.08160152286291122
62,0.0015325931599363685,0.0778186097741127
63,0.001398648601025343,0.07430047541856766
64,0.0012813776265829802,0.07107187807559967
65,0.0011791144497692585,0.06813661754131317
66,0.001089512719772756,0.06547237187623978
67,0.001010250300168991,0.06304378807544708
68,0.0009393015061505139,0.06080939620733261
69,0.0008748054970055819,0.05871990695595741
70,0.0008149076020345092,0.05671675130724907
71,0.0007579326629638672,0.05474097281694412
72,0.0007028249092400074,0.05275050178170204
73,0.0006492914981208742,0.05072840303182602
74,0.0005975129897706211,0.04867640137672424
75,0.0005477633094415069,0.04660462960600853
76,0.0005001616082154214,0.04452214762568474
77,0.0004546527925413102,0.042432352900505066
78,0.00041131526813842356,0.04034333676099777
79,0.00037060724571347237,0.03828135505318642
80,0.00033307363628409803,0.03628172352910042
81,0.00029894328326918185,0.03436865657567978
82,0.0002681848709471524,0.03255419805645943
83,0.00024068023776635528,0.030845249071717262
84,0.0002161164884455502,0.02923566848039627
85,0.00019395949493627995,0.027702301740646362
86,0.00017375778406858444,0.02622346393764019
87,0.00015534681733697653,0.02479507401585579
88,0.00013873467105440795,0.023425810039043427
89,0.00012395363592077047,0.0221291184425354
90,0.00011100686970166862,0.020921269431710243
91,9.978238813346252e-05,0.019812898710370064
92,9.000645513879135e-05,0.018799148499965668
93,8.138219709508121e-05,0.017867185175418854
94,7.374911365332082e-05,0.017011556774377823
95,6.704081170028076e-05,0.01623236946761608
96,6.115047290222719e-05,0.015522460453212261
97,5.59188993065618e-05,0.01486657839268446
98,5.1191975217079744e-05,0.014248511753976345
99,4.682982762460597e-05,0.013651387766003609
100,4.271413854439743e-05,0.013058273121714592
101,3.878911229548976e-05,0.012459809891879559
102,3.506198845570907e-05,0.011857419274747372
103,3.1557370675727725e-05,0.011257599107921124
104,2.8287975510465913e-05,0.010665583424270153
105,2.5247734811273403e-05,0.010081777349114418
106,2.2417341824620962e-05,0.009502380155026913
107,1.9785333279287443e-05,0.008925395086407661
108,1.735836485750042e-05,0.008354862220585346
109,1.515607800683938e-05,0.0077999965287745
110,1.3212091289460659e-05,0.007275032810866833
111,1.1564337910385802e-05,0.006797839887440205
112,1.0223263416264672e-05,0.006381963845342398
113,9.156737178273033e-06,0.006029902491718531
114,8.309454642585479e-06,0.0057352446019649506
115,7.6230680861044675e-06,0.0054868534207344055
116,7.037854629743379e-06,0.005268688313663006
117,6.495373781945091e-06,0.005060890223830938
118,5.95457913732389e-06,0.004846902564167976
119,5.401949238148518e-06,0.00461916858330369
120,4.842261660087388e-06,0.004376918543130159
121,4.288211584935198e-06,0.004122699145227671
122,3.7585095924441703e-06,0.0038627772592008114
123,3.2725547498557717e-06,0.003606285434216261
124,2.8432184535631677e-06,0.003362078219652176
125,2.475425617376459e-06,0.0031368774361908436
126,2.1666289740096545e-06,0.002933867508545518
127,1.909337925098953e-06,0.002752977656200528
128,1.6968930367511348e-06,0.0025941585190594196
129,1.5248260751832277e-06,0.0024581928737461567
130,1.3878430991098867e-06,0.002344259060919285
131,1.2791688277502544e-06,0.002249410143122077
132,1.1919970575036132e-06,0.002170001855120063
133,1.1207614534214372e-06,0.002102912636473775
134,1.060876911651576e-06,0.0020452183671295643
135,1.0069836662296439e-06,0.001992418896406889
136,9.537753840049845e-07,0.0019392849644646049
