iteration,loss
0,1.8644659851085057
1,1.5113351419568062
2,1.365012634206902
3,1.2657826908610084
4,1.189161559397524
5,1.1325877545909449
6,1.0796473940665072
7,1.0298903767358174
8,0.98941238055175
9,0.9497569958594712
10,0.916731880131093
11,0.8838778307492082
12,0.8505681770091708
13,0.8236776488748464
14,0.7984208166599274
15,0.7742098786614158
16,0.7481900009919297
17,0.7222389646551826
18,0.7028461034325036
19,0.6779164854775775
20,0.659957423128865
21,0.6397288170727816
22,0.6258122704245828
23,0.6068060968748548
24,0.5918548887764866
25,0.5754019804298878
26,0.5648745681074533
27,0.5486861550333825
28,0.5322483561255715
29,0.525639274919575
30,0.5110491434620186
31,0.4976633824408054
32,0.4869549409909682
33,0.4754139005460522
34,0.4708533283661712
35,0.4587858315895904
36,0.4454657227139581
37,0.4338310472667217
38,0.4245437842539765
39,0.4194561386988921
40,0.4084743752398274
41,0.4017846311696551
42,0.3934415765106678
43,0.3834880841049281
44,0.375894301824949
45,0.3678165306760506
46,0.361592566171153
47,0.3488631182434884
48,0.3459847951307893
49,0.3376030837270347
