iteration,loss
0,1.89608588882468
1,1.376210868358612
2,1.076341631060297
3,0.9023024372079156
4,0.7703415666791525
5,0.675475073131648
6,0.5996089846911755
7,0.546386147764596
8,0.5011381908235225
9,0.4654737243598157
10,0.4240009635686874
11,0.403774855912409
12,0.3729536181146448
13,0.3513192106038332
14,0.3331303771754557
15,0.3140109867196191
16,0.2990430254827846
17,0.2836872473867102
18,0.274092603305524
19,0.2592874909327788
20,0.2401149193332954
21,0.2342932179400866
22,0.2241335528987375
23,0.2182049459185112
24,0.2088901081799783
25,0.2015000970356843
26,0.1906879794868556
27,0.1834976962682875
28,0.1793467635288834
29,0.1708850607445294
30,0.1677447099831294
31,0.1647135644981807
32,0.1557020845568993
33,0.1538701460866088
34,0.1494941672691228
35,0.1446783971676433
36,0.1375159836501222
37,0.1367940675805915
38,0.1327243622561747
