iteration,loss
0,1.7951629155061462
1,1.3502398695458064
2,1.1270229792730375
3,0.9852404821325432
4,0.8707988732917742
5,0.7755927247079936
6,0.6984192683276805
7,0.6408508235419338
8,0.5857325854965232
9,0.538811479779807
10,0.502278359098868
11,0.4738110532476143
12,0.4443999613550576
13,0.4201016659763726
14,0.3953865654766559
15,0.3685118290172381
16,0.3481399199332703
17,0.3303503378040411
18,0.3051683417606083
19,0.3009052201258865
20,0.2760074102235111
21,0.2673683673651381
22,0.2479379827325994
23,0.2325782581994479
24,0.2254169084216383
25,0.2076482570899481
26,0.1957180208780548
27,0.1848942390219732
28,0.1736842379058626
29,0.1640101630156013
30,0.1554895348592915
31,0.1424484950151633
32,0.1346289245411753
33,0.1277302259325304
34,0.1193267997692931
35,0.1137853382705626
36,0.1054060373412953
37,0.1037481250876391
38,0.0939169270198114
39,0.0897774646820669
40,0.0852346935478801
41,0.0815186556851999
42,0.0763763789172199
43,0.0772736211180348
44,0.0731471510477025
45,0.07060863181356
46,0.071399606489153
47,0.0689421391156925
48,0.0674253456950695
49,0.0676616787360134
