iteration,loss
0,0.4484990664285506
1,0.2313205612143634
2,0.1789112148621071
3,0.1461391802082694
4,0.1243223837131007
5,0.1079429381337211
6,0.0951456560519351
7,0.0853604717241926
8,0.0770181587486752
9,0.0700366562717898
10,0.0644591774844445
11,0.059094847484505
12,0.0548038850869471
13,0.0508303690119094
14,0.0474341977740774
15,0.0444659950538269
16,0.0419210746036886
17,0.0392367176720387
18,0.0370654458338968
19,0.0350051484030993
20,0.0333132072179732
21,0.0316233338558631
22,0.0302922178315819
23,0.0289014876550902
24,0.0278020190445803
25,0.0267113202176458
26,0.0257354111132604
27,0.0248252063354044
28,0.0240767672481412
29,0.0233677938377475
30,0.0226540837119117
31,0.022057945504608
32,0.0215776490082884
33,0.0211247406652753
34,0.0207082447286924
35,0.0202881139283779
36,0.0199862281875729
