iteration,loss
0,0.2494525139824756
1,0.0937418754066901
2,0.0634708294018185
3,0.0451673714011483
4,0.0324245814798991
5,0.0221009503617459
6,0.0158053895467406
7,0.0109896442369597
8,0.0069186780546566
9,0.0040053001384833
10,0.0026471667798341
11,0.0018751998476119
12,0.0014311005713106
13,0.0012449265803349
14,0.0010330631321525
15,0.0009227343754935
16,0.0008417132802437
17,0.0007743353738065
18,0.0007083161321763
19,0.0006752409575003
20,0.0006374291267623
21,0.0006006928959417
22,0.0005756820717846
23,0.0005513623650478
24,0.000527700758677
25,0.0005107155071501
26,0.000493992511205
27,0.0004806655726833
28,0.0004652977304646
29,0.0004535640831413
30,0.0004438784491255
31,0.0004338808745306
32,0.0004268892583745
