epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.7680828985214234,43.07666666666667,1.3872236974716186,64.37,10.06
2,1.258819246673584,70.83666666666667,1.0749770622253418,80.78,11.39
3,1.0293390953699748,82.80833333333334,0.9728066612243652,84.26,12.11
4,0.9087934469223022,88.5,0.8307456781387329,92.05,12.51
5,0.8427575244903565,91.17833333333333,0.8122944961547851,92.7,13.99
6,0.8151046025594075,92.175,0.7876976056098938,93.56,17.41
7,0.7967143740971883,92.83333333333333,0.7715231609344483,93.81,21.28
8,0.7836487428665161,93.31833333333333,0.7671598207473755,94.2,26.93
9,0.7744627840042114,93.605,0.7600133944511414,94.29,36.77
10,0.7715629997253418,93.79833333333333,0.7579388088226319,94.36,48.98
