epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.4786477891286214,46.94833333333333,1.0421795586585998,61.64,12.53
2,0.8032569169680277,74.33833333333334,0.6001175756454468,80.64,16.78
3,0.5138177668809891,83.95333333333333,0.36293595378398896,89.56,17.78
4,0.3713210635503133,88.75666666666666,0.3157266100883484,90.77,18.82
5,0.3076213944037755,90.645,0.26884359023571014,91.81,22.66
6,0.2693892950773239,91.98333333333333,0.2385166365146637,92.58,36.25
7,0.24443552564779916,92.65166666666667,0.21961941319704056,93.37,49.19
8,0.22641075101693472,93.22333333333333,0.2039441242992878,93.8,56.58
9,0.21723983840942382,93.40666666666667,0.19348781359791756,94.16,63.35
10,0.21173828644752501,93.68833333333333,0.19187520971894265,94.22,67.38
