epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.623282312520345,40.038333333333334,1.1666145572662354,60.41,60.41
2,0.9535410451571147,68.71333333333334,0.708496256351471,77.97,77.97
3,0.6375019908587138,79.855,0.5488547360420227,83.21,83.21
4,0.47698534467220305,85.40833333333333,0.3768627058029175,88.92,88.92
5,0.38145988945960996,88.52333333333333,0.3375920625925064,89.69,89.69
6,0.34196610288619994,89.775,0.29150639746189116,91.59,91.59
7,0.3205960258960724,90.27833333333334,0.279507108938694,91.77,91.77
8,0.3018650809923808,90.86666666666666,0.2629264961719513,92.34,92.34
9,0.28420336854457856,91.42,0.25455575704574585,92.61,92.61
10,0.27676709101200103,91.76166666666667,0.2526708568453789,92.65,92.65
