epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.7418366849899292,45.21333333333333,1.4109511875152587,61.56,12.59
2,1.2404521142323812,72.84666666666666,1.065778662109375,82.08,16.86
3,1.0273401182174682,83.12166666666667,0.9341311931610108,87.8,18.36
4,0.9215269036928813,87.91,0.8628158561706543,90.95,22.04
5,0.8603137904167175,90.52666666666667,0.8197784232139588,92.39,28.67
6,0.828447712580363,91.64833333333333,0.804707441520691,92.68,32.52
7,0.8080859354654948,92.33333333333333,0.7821707681655884,93.67,34.9
8,0.7942998732566834,92.80166666666666,0.7763616894721985,93.57,39.47
9,0.7862044863382975,93.10666666666667,0.7695006999015808,94.07,47.27
10,0.7824283125559489,93.33166666666666,0.7687217101097107,94.16,55.8
