epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.7680828985214234,43.07666666666667,1.3872236974716186,64.37,64.37
2,1.256900557200114,71.03333333333333,1.0750725673675536,80.0,80.0
3,1.024386987431844,83.02833333333334,0.9704766447067261,84.85,84.85
4,0.9042998988469442,88.79333333333334,0.8443234010696411,91.45,91.45
5,0.8383553784688313,91.35333333333334,0.8075711470603942,92.88,92.88
6,0.8125610873222351,92.35166666666667,0.7846773830413818,93.42,93.42
7,0.7954165268262228,93.04,0.7724212642669678,93.73,93.73
8,0.7826068285624186,93.36666666666666,0.7648095148086548,94.21,94.21
9,0.7752125973383586,93.65,0.759130657863617,94.39,94.39
10,0.7717138909975688,93.80666666666667,0.7574825918197632,94.43,94.43
