epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.4383238883018494,47.056666666666665,0.9978956969261169,64.78,11.35
2,0.9018732404390971,69.185,0.6849114768981933,78.71,11.38
3,0.6088268290201823,80.98166666666667,0.49463508377075194,83.88,11.58
4,0.43304274118741354,86.685,0.3698836628437042,88.67,12.44
5,0.34710867017110186,89.325,0.2803870095729828,91.31,14.85
6,0.294099235757192,90.98666666666666,0.25814407188892363,92.2,18.25
7,0.2649084760427475,91.935,0.2390840106844902,92.87,22.34
8,0.2446791093190511,92.71333333333334,0.21167832074165344,93.64,26.81
9,0.23167494916121165,93.09,0.21337171425819396,93.78,31.52
10,0.22530382630030313,93.33833333333334,0.20626659276485443,93.64,37.34
