epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.4233111390431723,49.61333333333334,0.8804551032066346,70.41,70.41
2,0.6491289752801259,80.14333333333333,0.4963813043117523,84.67,84.67
3,0.4222899080435435,86.95,0.3303587160348892,90.45,90.45
4,0.34512179854710895,89.34,0.2681627363920212,92.0,92.0
5,0.29099234783649447,91.16333333333333,0.24558312462568282,92.71,92.71
6,0.26053605018456777,91.99666666666667,0.21926825578212739,93.56,93.56
7,0.23415945910612743,92.88833333333334,0.2095937679886818,93.7,93.7
8,0.22045241038004557,93.37,0.1976373646736145,94.31,94.31
9,0.20993088685671488,93.71,0.1876253593325615,94.36,94.36
10,0.20308902955849967,93.95833333333333,0.18393931840658187,94.63,94.63
