epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.6715184646606445,48.655,1.2471004375457764,72.63,72.63,Unknown,1
2,1.148939684232076,76.42666666666666,1.003728634262085,83.3,83.3,Unknown,2
3,0.9630091843922932,85.79833333333333,0.9000489945411683,87.86,87.86,Unknown,3
4,0.8637364815394084,90.47,0.8048312784194946,92.84,92.84,Unknown,4
5,0.806109146531423,92.52833333333334,0.7693887877464295,93.87,93.87,Unknown,5
6,0.7755140117963155,93.605,0.761054727935791,93.79,93.79,Unknown,6
7,0.7567111676534017,94.05166666666666,0.7387646255493164,94.75,94.75,Unknown,7
8,0.7436419296900432,94.66666666666669,0.7328709653854371,94.94,94.94,Unknown,8
9,0.7374695746739706,94.865,0.7259850002288818,95.12,95.12,Unknown,9
10,0.7332605376561483,94.925,0.723383871459961,95.25,95.25,Unknown,10
