epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.6511951896031698,48.95,1.3185427310943605,68.62,68.62,Unknown,1
2,1.2139984116236369,73.32833333333333,1.0418136753082274,83.44,83.44,Unknown,2
3,0.9815153336207072,85.37166666666667,0.8932428211212158,89.36,89.36,Unknown,3
4,0.8788549212773641,89.69666666666667,0.8360758857727051,91.26,91.26,Unknown,4
5,0.8205175031026204,91.885,0.7856980622291565,93.41,93.41,Unknown,5
6,0.7851002402623495,93.175,0.7652372898101807,93.93,93.93,Unknown,6
7,0.7630393588066101,93.93,0.7435263067245483,94.69,94.69,Unknown,7
8,0.7487037205378214,94.42,0.7360903793334961,94.86,94.86,Unknown,8
9,0.7401439884185791,94.675,0.7281522569656372,95.31,95.31,Unknown,9
10,0.7368071640650431,94.77,0.7260014716148376,95.22,95.22,Unknown,10
