epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.4411032477378845,48.09166666666667,0.8875315410614014,71.96,71.96
2,0.7400878624280294,76.05666666666667,0.5554491865158081,82.82,82.82
3,0.4788937143007914,84.945,0.3691615718364716,88.92,88.92
4,0.3710695674101512,88.50166666666667,0.296312340426445,91.2,91.2
5,0.30349848753611247,90.76,0.24283293949365617,92.78,92.78
6,0.2635982758164406,92.06166666666667,0.21214900909662246,93.8,93.8
7,0.23676321668624878,92.77833333333334,0.1973315887928009,94.31,94.31
8,0.217948499862353,93.435,0.19200245200395585,94.24,94.24
9,0.20714438636302948,93.765,0.18592336280345917,94.68,94.68
10,0.20308634548981985,93.95166666666667,0.18364051122665406,94.63,94.63
