epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.449011929988861,47.16,1.0221602478981018,61.33,10.78,Unknown,1
2,0.8369497680981954,73.04,0.6169512684345245,80.99,13.19,Unknown,2
3,0.5166935853799184,84.145,0.3763500165939331,89.43,16.27,Unknown,3
4,0.3718830084959666,88.78833333333333,0.3008752832531929,90.65,26.02,Unknown,4
5,0.3098326645692189,90.62666666666668,0.2645959637403488,91.9,31.14,Unknown,5
6,0.2713162607987722,91.68333333333334,0.217227062177658,93.62,34.31,Unknown,6
7,0.2430982751846313,92.64833333333333,0.2260695989608764,93.17,37.44,Unknown,7
8,0.2273072230577469,93.10833333333332,0.197668329077959,94.03,40.83,Unknown,8
9,0.2165502149422963,93.38833333333334,0.1969880158185958,94.2,45.11,Unknown,9
10,0.2109320079406102,93.68,0.1875374123871326,94.35,49.67,Unknown,10
