epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.4321289699554443,49.68,0.8636899551391601,71.33,71.33
2,0.7110789521853129,77.40833333333333,0.5542861986160278,82.53,82.53
3,0.4874481174945831,84.915,0.41301891844272615,87.48,87.48
4,0.37552385532855986,88.47333333333333,0.3055069895744324,90.92,90.92
5,0.30924429651896157,90.545,0.2533522768616676,92.6,92.6
6,0.2708968754371007,91.71,0.22670900256633758,93.36,93.36
7,0.24590075421333313,92.415,0.21760756514072419,93.58,93.58
8,0.22944819623629253,93.01166666666667,0.2025547798037529,94.09,94.09
9,0.21899533298015594,93.32166666666667,0.2013674807548523,94.16,94.16
10,0.21394816595713298,93.48666666666666,0.19715231631994248,94.39,94.39
