epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.6465442996342976,49.89,1.300076823425293,71.52,71.52,Unknown,1
2,1.155675283495585,76.65666666666667,0.9877510663032532,85.59,85.59,Unknown,2
3,0.9434073464075724,86.73833333333333,0.8607524580001831,91.09,91.09,Unknown,3
4,0.8615573181788126,90.415,0.8286901109695435,91.88,91.88,Unknown,4
5,0.8180841451327006,92.12666666666668,0.7884555629730224,93.74,93.74,Unknown,5
6,0.7886749950726827,93.21666666666668,0.7604835634231567,94.3,94.3,Unknown,6
7,0.7661560417811076,93.87833333333332,0.7497112710952759,94.67,94.67,Unknown,7
8,0.7520824005444845,94.31833333333331,0.7385343339920044,94.86,94.86,Unknown,8
9,0.7444218338648478,94.625,0.7341523366928101,95.0,95.0,Unknown,9
10,0.7395327932993571,94.82666666666668,0.7316528031349182,95.02,95.02,Unknown,10
