epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.63078019434611,52.24333333333333,1.2197839767456056,74.85,74.85
2,1.0887390268961588,80.455,0.9644098180770874,86.34,86.34
3,0.9299921617507935,87.48666666666666,0.8694805925369262,90.42,90.42
4,0.8505220200856527,90.69666666666667,0.798722750377655,92.92,92.92
5,0.7983868224461873,92.58333333333333,0.7713628869056701,93.59,93.59
6,0.7672427526473999,93.59166666666667,0.7463218462944031,94.38,94.38
7,0.7487287465413411,94.14166666666667,0.7307220408439636,94.9,94.9
8,0.7373339519500732,94.51666666666667,0.723243122291565,95.01,95.01
9,0.7302789460817973,94.74,0.7209841107368469,95.08,95.08
10,0.7263118327776591,94.89166666666667,0.7197397795677185,95.18,95.18
