epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.4411032477378845,48.09166666666667,0.8875315410614014,71.96,19.37,Unknown,1
2,0.745573255443573,75.965,0.5449292610645294,83.04,20.9,Unknown,2
3,0.4682089138666789,85.40833333333333,0.3432696618556976,89.6,23.76,Unknown,3
4,0.3535031086444855,89.04166666666667,0.3086489821672439,90.69,27.11,Unknown,4
5,0.2891058375835418,91.16166666666666,0.238854571712017,93.01,29.68,Unknown,5
6,0.2524894413312276,92.36833333333334,0.2060382432460785,94.1,32.83,Unknown,6
7,0.2244881578127543,93.14666666666666,0.1914843483924865,94.44,35.59,Unknown,7
8,0.2076133126735687,93.83166666666666,0.187548916041851,94.37,38.92,Unknown,8
9,0.1979433444897333,94.11333333333332,0.1777623201966285,94.82,42.32,Unknown,9
10,0.1937727958043416,94.16166666666666,0.1770272531986236,94.78,45.96,Unknown,10
