epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.4383238883018494,47.056666666666665,0.9978956969261168,64.78,64.78,Unknown,1
2,0.9111521428108216,68.71333333333334,0.6936004108428955,77.86,77.86,Unknown,2
3,0.6117816705385843,80.73333333333333,0.4682761038780212,84.81,84.81,Unknown,3
4,0.4301448482354482,86.90666666666667,0.3649195392131805,88.69,88.69,Unknown,4
5,0.3477289755026499,89.34833333333333,0.2818946471333504,91.55,91.55,Unknown,5
6,0.2970836590925853,90.97666666666667,0.2502351192951202,92.25,92.25,Unknown,6
7,0.2638963096300761,92.11166666666666,0.2283534271359443,93.09,93.09,Unknown,7
8,0.2449743130366007,92.64833333333333,0.2124327851295471,93.67,93.67,Unknown,8
9,0.2301391717116038,93.0,0.214233093893528,93.71,93.71,Unknown,9
10,0.2255041074673335,93.18833333333332,0.2045023373126983,93.89,93.89,Unknown,10
