epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.5750698002497354,42.76,1.1771870380401612,56.3,12.98
2,0.9646469367663065,68.27833333333334,0.7316426929950715,77.02,17.28
3,0.6655745607376099,79.08333333333333,0.5124941400527954,84.59,18.31
4,0.4903409932454427,84.765,0.40235247435569765,88.22,22.02
5,0.39608912638028465,88.01,0.33461247470378874,90.5,25.23
6,0.3543574782371521,89.275,0.3164679446578026,90.55,25.97
7,0.32921764612992604,90.13166666666666,0.2905621354818344,91.58,28.2
8,0.30970337088902794,90.64666666666666,0.2694326149702072,92.1,35.15
9,0.2979196479002635,91.055,0.266526535487175,92.3,44.96
10,0.2931805376609167,91.26,0.26529813936948776,92.48,54.12
