epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.4548574522654216,47.85666666666667,0.9562244120597839,65.92,65.92
2,0.7779331271648406,75.02833333333334,0.5698081305503845,81.82,81.82
3,0.5056342178662618,84.47666666666667,0.40820087821483614,88.17,88.17
4,0.38294414811134336,88.42833333333333,0.2935944970846176,91.73,91.73
5,0.31808419852256775,90.33666666666667,0.2587490452170372,92.26,92.26
6,0.2705828800201416,91.79833333333333,0.2244519683122635,93.43,93.43
7,0.24603855323791504,92.58666666666667,0.22454080330133439,93.2,93.2
8,0.22686086049079895,93.03833333333333,0.21064414281249047,93.87,93.87
9,0.21929071928660074,93.42166666666667,0.19749995360970496,94.18,94.18
10,0.21197700226306915,93.57,0.18901278317570686,94.59,94.59
