epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.449011929988861,47.16,1.0221602478981018,61.33,61.33,Unknown,1
2,0.8333510461807251,73.055,0.5925575364112854,82.11,82.11,Unknown,2
3,0.5130464639822642,84.20833333333333,0.37132691988945,89.64,89.64,Unknown,3
4,0.373570965051651,88.66333333333333,0.2939305163145065,91.45,91.45,Unknown,4
5,0.3114287488619486,90.51166666666668,0.2577691669583321,92.19,92.19,Unknown,5
6,0.2715400612354278,91.62166666666668,0.2330630153894424,93.04,93.04,Unknown,6
7,0.2446535295248031,92.60666666666668,0.2174149755120277,93.35,93.35,Unknown,7
8,0.2295424173593521,92.96333333333334,0.1987128446280956,93.96,93.96,Unknown,8
9,0.2179470019181569,93.46833333333332,0.1996800773441791,94.06,94.06,Unknown,9
10,0.2123816955010096,93.52166666666666,0.1911436518132686,94.18,94.18,Unknown,10
