epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.4575033469518026,47.72666666666667,0.8719755470275878,70.6,70.6
2,0.7269584940751393,76.22166666666666,0.5162089903354645,83.09,83.09
3,0.48875053900082904,84.64,0.4012847105026245,86.25,86.25
4,0.36980544114112857,88.60333333333334,0.29722898864746095,91.09,91.09
5,0.2958371174812317,91.13333333333334,0.2819317625522614,91.15,91.15
6,0.2543099578698476,92.29666666666667,0.226763023519516,93.01,93.01
7,0.22917242357730866,93.15166666666667,0.20313353992700578,93.85,93.85
8,0.20915628457069396,93.665,0.20092668054103852,94.05,94.05
9,0.2008724554379781,94.03166666666667,0.1860347551345825,94.42,94.42
10,0.1957005318959554,94.07666666666667,0.1824704619884491,94.6,94.6
