epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.5845264442443847,41.74,1.1071791482925415,62.55,62.55
2,0.9375814314206441,69.28166666666667,0.7035654489994049,77.95,77.95
3,0.6235700512886048,80.28,0.4804280132770538,85.43,85.43
4,0.4769925184726715,84.9,0.38895976777076724,88.18,88.18
5,0.3962498632113139,87.67333333333333,0.32276805920600893,90.6,90.6
6,0.3533409559090932,89.125,0.29190013868808745,91.45,91.45
7,0.3157762469450633,90.225,0.26879699845314026,92.1,92.1
8,0.2916530024607976,91.06,0.25667947375774386,92.42,92.42
9,0.2775097222487132,91.61166666666666,0.25195793404579164,92.65,92.65
10,0.2710166366100311,91.80333333333333,0.2472015727519989,92.86,92.86
