epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.6199911200841268,40.026666666666664,1.182141530609131,57.58,57.58
2,0.9683042058308919,67.38666666666667,0.6958506837844849,78.26,78.26
3,0.6152885084470113,80.81333333333333,0.4822882005214691,85.69,85.69
4,0.4463311733086904,86.35,0.3429405213356018,90.08,90.08
5,0.36608479895591733,89.00666666666666,0.3157439950942993,90.57,90.57
6,0.33164936949412027,90.02,0.2851358623743057,91.65,91.65
7,0.31261931885083516,90.58166666666666,0.2744768261909485,91.94,91.94
8,0.29624737833340964,91.01833333333333,0.2675475881576538,92.29,92.29
9,0.2849520663102468,91.45,0.26515373516082763,92.07,92.07
10,0.28166407957871753,91.56166666666667,0.25050115246772764,92.87,92.87
