epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.5430652184168498,42.95,1.12975051984787,57.7,11.35
2,1.035456154791514,63.31333333333333,0.8438942745208741,73.71,11.62
3,0.7604178602218628,75.52333333333333,0.6248731979370117,79.22,13.36
4,0.5356784588177999,83.44833333333334,0.42062361340522764,87.84,17.39
5,0.41208453466097517,87.71666666666667,0.33529797122478483,90.41,23.59
6,0.3600498136997223,89.21833333333333,0.30857477192878724,91.06,29.43
7,0.33001316147645315,90.23833333333333,0.2888847371339798,91.69,34.84
8,0.308656929508845,90.87333333333333,0.27355366387367247,92.15,41.77
9,0.29521695736249287,91.30666666666667,0.27543873426914217,92.06,49.01
10,0.2894070845762889,91.45833333333333,0.25966626162528994,92.57,55.08
