epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.4548574522654216,47.85666666666667,0.956224412059784,65.92,9.58,Unknown,1
2,0.777354092947642,74.90833333333333,0.5983847103595734,81.61,9.58,Unknown,2
3,0.5095604570070903,84.39166666666667,0.4384308078765869,86.99,9.58,Unknown,3
4,0.3859307492097218,88.215,0.3169006529808044,90.86,10.93,Unknown,4
5,0.3276701492786407,90.15166666666669,0.2715412896156311,92.21,20.27,Unknown,5
6,0.2858076505025227,91.285,0.2427647901833057,92.96,34.86,Unknown,6
7,0.2609649840513865,92.09333333333332,0.244649046421051,92.68,37.04,Unknown,7
8,0.2434368812878926,92.65666666666668,0.2374595453381538,92.93,39.44,Unknown,8
9,0.2332308533191681,92.88666666666668,0.2126305700778961,93.88,43.32,Unknown,9
10,0.2265336552460988,93.23166666666668,0.2051770470738411,94.18,47.94,Unknown,10
