epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.5759551599502564,42.83833333333333,1.1036481411933898,59.86,59.86
2,0.9372311321576436,69.22833333333334,0.7349369624137878,76.36,76.36
3,0.5949630330403646,81.395,0.4518937725543976,85.84,85.84
4,0.44209998542467754,86.53333333333333,0.360738974404335,89.15,89.15
5,0.3603778618653615,89.06333333333333,0.3094765556871891,91.04,91.04
6,0.32710150610605876,90.21333333333334,0.29813204156160356,91.36,91.36
7,0.3008505607287089,90.98166666666667,0.2687328655004501,92.0,92.0
8,0.28683290915489196,91.38333333333334,0.25123496540784834,92.77,92.77
9,0.27641194076538084,91.76666666666667,0.24731993663311005,92.66,92.66
10,0.2699754518667857,91.96333333333334,0.24220323330163956,92.88,92.88
