epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.7406899770100912,44.71333333333333,1.3957337085723878,65.68,65.68,Unknown,1
2,1.2336046154658,73.33333333333333,1.0423495428085328,83.3,83.3,Unknown,2
3,0.9889850910822552,84.88666666666667,0.8952678642272949,89.7,89.7,Unknown,3
4,0.8920398506800333,89.29,0.8507315220832825,90.78,90.78,Unknown,4
5,0.8406447751363119,91.23166666666668,0.8067519328117371,92.54,92.54,Unknown,5
6,0.815191490872701,92.14166666666668,0.7904272254943847,93.16,93.16,Unknown,6
7,0.7993299271901448,92.765,0.7817404331207275,93.58,93.58,Unknown,7
8,0.7895424522717793,93.05666666666669,0.7702538917541504,93.89,93.89,Unknown,8
9,0.7814140188852946,93.43833333333332,0.7664395371437073,94.05,94.05,Unknown,9
10,0.7779295261383057,93.555,0.7641460182189942,94.26,94.26,Unknown,10
