epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.5663265555699666,42.81,1.115246496963501,58.05,10.48
2,0.9579581392606099,68.27833333333334,0.7107498237609863,79.32,10.91
3,0.6293229099114735,80.48833333333333,0.4653064722061157,86.55,12.67
4,0.44884891888300577,86.30166666666666,0.3447388512134552,90.03,20.44
5,0.36008936643600464,89.26666666666667,0.3065158434987068,91.22,31.49
6,0.3248133749485016,90.20666666666666,0.27353426880836484,92.01,36.33
7,0.302710777592659,91.0,0.2702609231233597,92.19,39.42
8,0.2870508943716685,91.41666666666667,0.25036287152767184,92.75,42.86
9,0.27478459804852806,91.81333333333333,0.24737112538814546,92.87,46.42
10,0.27152851980527243,91.95666666666666,0.24457179901003837,92.93,51.49
