epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.4786477891286214,46.94833333333333,1.0421795586585998,61.64,61.64,Unknown,1
2,0.8014331471443177,74.37833333333333,0.5712107899188995,81.95,81.95,Unknown,2
3,0.5221887660503387,83.76333333333334,0.3809643667459488,88.88,88.88,Unknown,3
4,0.3911690325736999,88.165,0.3212039320468902,90.6,90.6,Unknown,4
5,0.3165132733742396,90.445,0.2658137240648269,91.73,91.73,Unknown,5
6,0.2733287821610768,91.68333333333334,0.2300510927438736,92.99,92.99,Unknown,6
7,0.2448643317619959,92.73666666666666,0.2179762791872024,93.41,93.41,Unknown,7
8,0.2274382826566696,93.21666666666668,0.2015287653326988,94.06,94.06,Unknown,8
9,0.2178604166666666,93.42333333333332,0.1935920033216476,94.07,94.07,Unknown,9
10,0.2116814055283864,93.66333333333333,0.1911500543296337,94.31,94.31,Unknown,10
