file,convergence_rate,convergence_rate_type,converged_epoch,converged_basis,final_loss,stagnation_detected,optimizer,seed
HighDim_Dim100_Adam_seed123.csv,0.0937095637258951,linear,82,strict,9.60604097599571e-07,False,Adam,123
HighDim_Dim100_Adam_seed42.csv,0.11568977317568345,linear,80,strict,9.143730039795628e-07,False,Adam,42
HighDim_Dim100_Adam_seed456.csv,0.09981976018853442,linear,83,strict,8.915320677260752e-07,False,Adam,456
HighDim_Dim100_SAM_SGD_seed123.csv,0.33068543243405163,linear,149,strict,9.01853880463932e-08,False,SAM,123
HighDim_Dim100_SAM_SGD_seed42.csv,0.2742685048087181,linear,143,strict,9.2284034280965e-07,False,SAM,42
HighDim_Dim100_SAM_SGD_seed456.csv,0.2910250996921646,linear,144,strict,5.527908228941669e-07,False,SAM,456
HighDim_Dim100_SGD_seed123.csv,0.03824165300099507,linear,237,strict,9.652254675529548e-07,False,SGD,123
HighDim_Dim100_SGD_seed42.csv,0.037642864799207316,linear,232,strict,9.76540945885063e-07,False,SGD,42
HighDim_Dim100_SGD_seed456.csv,0.03857776181751044,linear,230,strict,9.762491117726313e-07,False,SGD,456
HighDim_Dim200_Adam_seed123.csv,0.10972977627453954,linear,88,strict,9.95178879747982e-07,False,Adam,123
HighDim_Dim200_Adam_seed42.csv,0.10766849161976998,linear,87,strict,9.73867940956552e-07,False,Adam,42
HighDim_Dim200_Adam_seed456.csv,0.10597874108661215,linear,90,strict,8.873333285919216e-07,False,Adam,456
HighDim_Dim200_SAM_SGD_seed123.csv,0.29532776267934324,linear,163,strict,4.374246600491461e-07,False,SAM,123
HighDim_Dim200_SAM_SGD_seed42.csv,0.27556880428916747,linear,160,strict,9.21335811199242e-07,False,SAM,42
HighDim_Dim200_SAM_SGD_seed456.csv,0.31472603788990045,linear,163,strict,1.9770205028635249e-07,False,SAM,456
HighDim_Dim200_SGD_seed123.csv,0.03825120467903726,linear,252,strict,9.733104207043652e-07,False,SGD,123
HighDim_Dim200_SGD_seed42.csv,0.03800746012947838,linear,248,strict,9.71525878412649e-07,False,SGD,42
HighDim_Dim200_SGD_seed456.csv,0.03839233352647518,linear,251,strict,9.880045581667218e-07,False,SGD,456
