epoch,train_loss,val_loss,val_acc,test_acc,test_loss
1,0.686505005051108,0.662981129805247,63.333333333333336,,
2,0.5047460654693491,0.35737678106625875,86.26666666666667,,
3,0.3266736021602855,0.373226463953654,84.53333333333333,,
4,0.2826771510208354,0.3202107748190562,87.46666666666667,,
5,0.23300629580722135,0.34359197545051573,87.2,,
6,0.19864653327184564,0.3282964271704356,89.06666666666666,,
7,0.14832701906035928,0.386451815366745,86.53333333333333,,
8,0.12903676779831158,0.35802285488446556,87.46666666666667,,
9,0.10263090816666098,0.4030854860941569,87.06666666666666,,
10,0.09181606616693384,0.39870292727152506,88.26666666666667,89.6,0.2567264711856842
