function,optimizer,seed,initial_x,initial_y,final_loss,final_grad_norm,final_x,iterations,converged,converged_strict,converged_practical,path_length,mean_step_size,oscillation_rate,strict_convergence_threshold,practical_convergence_threshold
Rastrigin,Adam,42,1.683827571005236,-0.20169828719513205,3.9798311912099393,0.0007207634625956416,"[1.9899104833602905, -4.982277914677979e-07]",200,False,False,False,1.091519053985447,0.005485020371786165,0.43434343434343436,1e-06,0.001
Rastrigin,Adam,123,-1.6575102915803281,-4.531933285238857,28.85355412773973,0.0014436813071370125,"[-1.9899150133132935, -4.974693775177002]",200,False,False,False,1.2910164645991704,0.006487519922608896,0.13636363636363635,1e-06,0.001
Rastrigin,Adam,456,-1.2216614369254044,2.0531764329755564,4.974790249648477,0.0012592441635206342,"[-0.9949605464935303, 1.9899147748947144]",200,False,False,False,0.853177391469224,0.004287323575222231,0.4393939393939394,1e-06,0.001
Rastrigin,SAM_SGD,42,1.683827571005236,-0.20169828719513205,4.010196600294867,4.902615070343018,"[1.981785774230957, -0.009341314435005188]",200,False,False,False,5.000743916416001,0.02512936641415076,0.9747474747474747,1e-06,0.001
Rastrigin,SAM_SGD,123,-1.6575102915803281,-4.531933285238857,44.357739446704954,4.4193620681762695,"[-2.0010569095611572, -4.522993564605713]",200,False,False,False,4.832260198855214,0.02428271456711163,0.9545454545454546,1e-06,0.001
Rastrigin,SAM_SGD,456,-1.2216614369254044,2.0531764329755564,5.002218401265571,4.664740562438965,"[-1.0037425756454468, 1.9977339506149292]",200,False,False,False,4.907993421306857,0.02466328352415506,0.9848484848484849,1e-06,0.001
Rastrigin,SGD,42,1.683827571005236,-0.20169828719513205,4.092124990332502,9.391407012939453,"[1.9682780504226685, -0.010049904696643353]",200,False,False,False,0.3439202452529643,0.0017282424384571068,0.0,1e-06,0.001
Rastrigin,SGD,123,-1.6575102915803281,-4.531933285238857,28.85355412514215,0.00018955070117954165,"[-1.9899121522903442, -4.974690914154053]",200,False,False,False,0.6665482716151059,0.003349488802085959,0.0,1e-06,0.001
Rastrigin,SGD,456,-1.2216614369254044,2.0531764329755564,4.9747902476484,2.847906762326602e-05,"[-0.9949586987495422, 1.9899122714996338]",200,False,False,False,0.23327697260023067,0.0011722460934684958,0.0,1e-06,0.001
Rosenbrock,Adam,42,1.64373629133578,0.6332706385123137,0.03128033618179882,7.892455101013184,"[0.9965648651123047, 1.01082444190979]",200,False,False,False,2.3738453689408052,0.011928871200707564,0.2777777777777778,1e-06,0.001
Rosenbrock,Adam,123,1.094111179488861,-1.677073887186664,0.0013310268153373796,1.4840762615203857,"[1.0147229433059692, 1.0330007076263428]",200,False,False,False,4.196080535341098,0.021085831835884913,0.04040404040404041,1e-06,0.001
Rosenbrock,Adam,456,-0.18196053381140587,0.6859317889427352,0.006514834264108418,3.392421007156372,"[0.9791743755340576, 0.9509842991828918]",200,False,False,False,3.3862145288399366,0.017016153411255962,0.16666666666666666,1e-06,0.001
Rosenbrock,SAM_SGD,42,1.64373629133578,0.6332706385123137,0.01619975259177201,4.49757194519043,"[0.9340550303459167, 0.8615725636482239]",200,False,False,False,2.5104447374825423,0.012615300188354484,0.9848484848484849,1e-06,0.001
Rosenbrock,SAM_SGD,123,1.094111179488861,-1.677073887186664,0.6661279748264995,1.530993938446045,"[0.18423758447170258, 0.031375110149383545]",200,False,False,False,1.8153738305400253,0.009122481560502639,0.0,1e-06,0.001
Rosenbrock,SAM_SGD,456,-0.18196053381140587,0.6859317889427352,1.6001093094634717,2.235710620880127,"[-0.2638262212276459, 0.07494524121284485]",200,False,False,False,0.681820012476169,0.003426231218473211,0.0,1e-06,0.001
Rosenbrock,SGD,42,1.64373629133578,0.6332706385123137,117.72798895455495,624.280517578125,"[1.3478871583938599, 0.7323323488235474]",200,False,False,False,0.3103663388093423,0.0015596298432630266,0.0,1e-06,0.001
Rosenbrock,SGD,123,1.094111179488861,-1.677073887186664,452.3403390677047,791.162109375,"[0.7846925854682922, -1.5109779834747314]",200,False,False,False,0.34955980844285983,0.00175658195197417,0.0,1e-06,0.001
Rosenbrock,SGD,456,-0.18196053381140587,0.6859317889427352,28.296476377204336,112.70388793945312,"[-0.22709451615810394, 0.5691694021224976]",200,False,False,False,0.12453608766893379,0.0006258094857735366,0.0,1e-06,0.001
