epoch,loss,val_acc,lr
1,0.3390127504112031,95.38333333333334,0.001
2,0.140662084558705,96.76666666666668,0.001
3,0.0968169600821996,97.01666666666668,0.0001
4,0.0604145854062696,97.73333333333332,0.0001
5,0.0537770260202641,97.73333333333332,0.0001
6,0.0505249507535443,97.83333333333331,1e-05
7,0.0462388612321132,97.88333333333334,1e-05
8,0.0456703300951975,97.86666666666666,1e-05
9,0.0453288033516344,97.86666666666666,1.0000000000000002e-06
10,0.0448263012848229,97.88333333333334,1.0000000000000002e-06
