epoch,loss,val_acc,lr
1,0.3491007196606618,94.8,0.0009755282581475
2,0.1460906392696062,95.91666666666669,0.0009045084971874
3,0.1001304705004909,96.96666666666668,0.0007938926261462
4,0.0743202415948195,97.43333333333334,0.0006545084971874
5,0.0575161745211206,97.53333333333332,0.0005
6,0.0433901463683818,97.73333333333332,0.0003454915028125
7,0.0328429942924123,97.78333333333332,0.0002061073738537
8,0.0262738433048588,97.83333333333331,9.549150281252634e-05
9,0.021779581703581,97.83333333333331,2.4471741852423235e-05
10,0.0195835728630847,97.96666666666668,0.0
