epoch,loss,val_acc,lr
1,0.34574312411284,94.56666666666666,0.001
2,0.1465713199475224,96.46666666666668,0.001
3,0.1003206429023172,96.81666666666666,0.0001
4,0.0622473507236812,97.53333333333332,0.0001
5,0.0565219367412912,97.73333333333332,0.0001
6,0.0532929704445127,97.68333333333334,1e-05
7,0.0487676284328915,97.71666666666668,1e-05
8,0.0483419113170126,97.73333333333332,1e-05
9,0.0479860959234713,97.73333333333332,1.0000000000000002e-06
10,0.0474315998254794,97.71666666666668,1.0000000000000002e-06
