epoch,loss,val_acc,lr
1,1.4261692597120297,86.01666666666667,0.0009755282581475
2,0.4490363990172956,89.2,0.0009045084971874
3,0.349695450674866,90.46666666666668,0.0007938926261462
4,0.3110054151212434,91.33333333333331,0.0006545084971874
5,0.2881884464720414,91.65,0.0005
6,0.273146938409003,91.96666666666668,0.0003454915028125
7,0.2633521901311185,92.15,0.0002061073738537
8,0.2570922699937888,92.41666666666669,9.549150281252634e-05
9,0.25369655801716,92.4,2.4471741852423235e-05
10,0.2521665866411692,92.41666666666669,0.0
