epoch,loss,val_acc,lr
1,0.345828667318369,94.15,0.0009755282581475
2,0.1442982193735821,96.06666666666666,0.0009045084971874
3,0.0976240420625743,96.65,0.0007938926261462
4,0.0731859659330292,96.6,0.0006545084971874
5,0.0545684101724317,97.6,0.0005
6,0.0414060564652103,97.73333333333332,0.0003454915028125
7,0.0316309956304058,97.76666666666668,0.0002061073738537
8,0.0243841546424333,97.81666666666666,9.549150281252634e-05
9,0.0203668093926745,97.85,2.4471741852423235e-05
10,0.0181344063876426,98.0,0.0
