optimizer,seed,train_loss,train_acc,test_loss,test_acc,training_time,epochs_completed
SGD,42,0.4239987379579402,88.41,0.3475676619447768,90.01,14.815641403198242,2
SGD_Momentum,42,0.09414838692113789,97.00166666666667,0.0794005934469169,97.28,14.61976671218872,2
Adam,42,0.09778564378047294,96.93,0.0861474147764966,97.18,15.124653339385986,2
AdamW,42,0.0985209511152145,96.85166666666667,0.08691894877119921,97.14,14.926476240158081,2
AMSGrad,42,0.09690565422081998,96.98666666666666,0.08478783942409791,97.26,14.854159832000732,2
SAM_SGD,42,0.41135139915861807,89.39,0.33594389371573924,90.41,15.193744421005249,2
SAM_Adam,42,0.09796044738021994,97.54666666666667,0.08056273957481608,97.31,15.368239879608154,2
Lookahead_SGD,42,0.6911978600884298,84.59,0.49717942662537096,87.16,14.624785900115967,2
Lookahead_Adam,42,0.12310224800888918,96.315,0.10176341710612177,96.72,15.128631114959717,2
AdaBound,42,0.31916036309082624,90.675,0.2834814459551126,91.66,15.286285400390625,2
RAdam,42,0.3599184133809433,94.60666666666667,0.4086960922460996,95.45,15.30944013595581,2
LAMB,42,0.4767091886829466,87.85166666666667,0.37229249607771636,89.78,15.098629236221313,2
