iteration,x,y,loss,grad_norm,lambda_min,lambda_max
0,1e-06,0.0,5e-13,0.0073502529076284,-1.0,1.0
1,0.0100008701402168,-0.0099999863197618,8.838583028352431e-09,0.0307530779230508,-1.0,1.0
2,0.0036413138569347,-0.0188037569911995,-0.0001701610551896,0.0165918251536753,-1.0,1.0
3,-0.0043871566804486,-0.0276660486688496,-0.0003730815526041,0.0263609136161891,-1.0,1.0
4,-0.0125599514317158,-0.0369621209365061,-0.0006042230020789,0.0484797497679809,-1.0,1.0
5,-0.0135125061585116,-0.0462861374887194,-0.0009799093504704,0.0535434133807913,-1.0,1.0
6,-0.0111261987295422,-0.0558108013272426,-0.0014955266233098,0.0711705885757932,-1.0,1.0
7,-0.0066421050398769,-0.0654292329909315,-0.0021184334852104,0.060438444359506,-1.0,1.0
8,-0.000754519186076,-0.0752471040286888,-0.002830778682751,0.071538838839709,-1.0,1.0
9,0.0056049061227178,-0.0852389603419231,-0.0036171326937637,0.0825259080366803,-1.0,1.0
10,0.0065817625340489,-0.0953867875068045,-0.0045276598164068,0.0833049443685976,-1.0,1.0
11,0.0058979335192842,-0.105678304133049,-0.0055665591723196,0.1073800690990735,-1.0,1.0
12,0.0044762716318529,-0.1160955968545618,-0.0067290753006474,0.1116692556223951,-1.0,1.0
13,0.0022891926330688,-0.1266508909774799,-0.0080176038912391,0.1140658301038144,-1.0,1.0
14,7.594545850811082e-05,-0.1373396890406623,-0.0094310922090365,0.1449809308272883,-1.0,1.0
15,-0.0008959214528931,-0.1481585675739796,-0.0109750792351618,0.1539207216867115,-1.0,1.0
16,-0.0024773328202707,-0.1591151886281753,-0.0126557530371387,0.1420042182121012,-1.0,1.0
17,-0.0036931514422414,-0.1701888067983938,-0.0144752952959428,0.1655311290618803,-1.0,1.0
18,-0.0039103980953021,-0.1813996566816341,-0.0164452721154755,0.1837494496822201,-1.0,1.0
19,-0.0029930593744086,-0.1927519064158362,-0.0185721695112602,0.1824334129737972,-1.0,1.0
20,-0.0015490573491388,-0.2042280240566233,-0.0208533431157008,0.2092339210114251,-1.0,1.0
21,0.00042806121707,-0.215846586582473,-0.0232947828514497,0.1977884289026714,-1.0,1.0
22,0.00260455131834,-0.2275702976095281,-0.0258907283332596,0.2106293250134166,-1.0,1.0
23,0.004535411985979,-0.2394057602017748,-0.0286472740279535,0.2360743068059913,-1.0,1.0
24,0.0045693101639403,-0.2513762297492642,-0.0315845651437903,0.2543087906480157,-1.0,1.0
25,0.00308228254361,-0.2634862351791964,-0.034707747831614,0.2659130061954741,-1.0,1.0
26,0.0010976084135035,-0.2757294706137247,-0.0380127681103477,0.2842719541117325,-1.0,1.0
27,0.0008364452891867,-0.2881086840429365,-0.0415029570901154,0.2851769760168178,-1.0,1.0
