iteration,x,y,loss,grad_norm,lambda_min,lambda_max
0,1e-06,0.0,5e-13,0.0152649564998707,-1.0,1.0
1,0.0001446461193752,5.1649608737360113e-05,9.127408883800185e-09,0.0199770868277744,-1.0,1.0
2,7.480240219679501e-05,8.208605626604777e-05,-5.713606294508385e-10,0.008902823957899,-1.0,1.0
3,5.0693573171040616e-06,0.0001982413494239,-1.9636967118911225e-08,0.0089194927598402,-1.0,1.0
4,-4.798054109997549e-05,0.0003914459545398,-7.546390150070074e-08,0.0163450231276158,-1.0,1.0
5,6.628499818016315e-05,0.0005436830926563,-1.455988021283144e-07,0.0240621796142232,-1.0,1.0
6,0.0003933362052133,0.0007680333844773,-2.175809546700112e-07,0.0224249722792015,-1.0,1.0
7,0.0006024983932335,0.0007625079528418,-1.092070321490036e-07,0.0267580254445215,-1.0,1.0
8,0.000621742987643,0.000550079700781,4.1988332735941756e-08,0.0026263243392608,-1.0,1.0
9,0.0006198635549677,0.0003409740463667,1.3398376324076568e-07,0.0146901385947284,-1.0,1.0
10,0.0007594019040277,0.0001932035776098,2.696818147198347e-07,0.024452278039425,-1.0,1.0
11,0.000683734838564,0.0001990956907318,2.1392711769910773e-07,0.0110245346121645,-1.0,1.0
12,0.0006862352673923,0.0002890718770604,1.936781460528672e-07,0.0053617665414667,-1.0,1.0
13,0.0006703279689382,0.0003196009398848,1.735974125827721e-07,0.0029324929306985,-1.0,1.0
14,0.0006566667859042,0.0003763947011824,1.447691483158388e-07,0.0266273255150215,-1.0,1.0
15,0.0003880832877837,0.0004997426333958,-4.9567030688185126e-08,0.0018286474864266,-1.0,1.0
16,0.0001543679166898,0.0006271947088479,-1.847718745518716e-07,0.0126755493665774,-1.0,1.0
17,-0.000151736266889,0.0006588539360898,-2.055323072058289e-07,0.0047050991185458,-1.0,1.0
18,-0.0003802363330869,0.0006896684522856,-1.6553145253932136e-07,0.0138779977508936,-1.0,1.0
19,-0.0004550753773834,0.0006710511076039,-1.216079949579253e-07,0.0168706351180445,-1.0,1.0
20,-0.0006908222026402,0.0006439963119793,3.125203290883025e-08,0.0269206056792899,-1.0,1.0
21,-0.0010617319756691,0.0004022205353807,4.827467145381563e-07,0.0009864241378072,-1.0,1.0
22,-0.0013932003056249,0.0001750422232574,9.551836558353052e-07,0.0129422353306574,-1.0,1.0
23,-0.0015667317345221,-6.37342080005265e-05,1.225293139344653e-06,0.0015615312493924,-1.0,1.0
24,-0.0017316962540182,-0.0002657240811757,1.4640813144321152e-06,0.0038726196424401,-1.0,1.0
25,-0.0018829663451208,-0.000408890273462,1.6891855005628991e-06,0.0142385152589104,-1.0,1.0
26,-0.0018997378098912,-0.0004601257454833,1.6986440223370022e-06,0.0122232144195926,-1.0,1.0
27,-0.001798373581243,-0.0005433604923796,1.4694534565170012e-06,0.003623435792716,-1.0,1.0
28,-0.0016792627410554,-0.0006414118831427,1.2042570748300817e-06,0.0124128022864539,-1.0,1.0
29,-0.0014496746999822,-0.0007503674027658,7.692527483175233e-07,0.019160922292271,-1.0,1.0
