epoch,train_loss,train_acc,val_loss,val_acc,tainted,effective_batch_size,original_batch_size,test_acc,test_loss
1,1.8036647906357592,31.182222222222222,1.6689635634422302,37.8,False,128,128,,
2,1.3847583749077537,48.75555555555555,1.5026533961296082,46.8,False,128,128,,
3,1.155459557067264,58.06666666666667,1.079412227869034,61.62,False,128,128,,
4,0.9687711416997692,65.08888888888889,1.0980401754379272,60.04,False,128,128,,
5,0.8600805594839833,69.42666666666666,0.8304776012897491,70.58,False,128,128,,
6,0.7626255337487567,73.01555555555555,0.8613899707794189,70.2,False,128,128,,
7,0.6818443922833963,76.14,0.8114798188209533,71.3,False,128,128,,
8,0.6174873376095836,78.43333333333334,0.8486955106258393,70.62,False,128,128,,
9,0.5736711250448768,79.83111111111111,0.6648416817188263,77.22,False,128,128,,
10,0.5335412049158053,81.32444444444444,0.6553493559360504,77.84,False,128,128,,
11,0.4973727904937484,82.64666666666666,0.5904181838035584,78.94,False,128,128,,
12,0.4673915115947073,83.70222222222222,0.6521165430545807,77.8,False,128,128,,
13,0.4406510853970593,84.63777777777777,0.5476120203733444,81.32,False,128,128,,
14,0.4099056295711886,85.57111111111111,0.5476688086986542,81.66,False,128,128,,
15,0.3876486085355282,86.26,0.6168208360671997,80.32,False,128,128,,
16,0.3661817992952736,87.13777777777777,0.4901935547590256,83.9,False,128,128,,
17,0.3430675116621635,88.10888888888888,0.4796737849712372,84.7,False,128,128,,
18,0.3280705636875196,88.54888888888888,0.5034636855125427,83.28,False,128,128,,
19,0.3059573824602095,89.16,0.5685810625553132,81.88,False,128,128,,
20,0.2892152188684452,89.82222222222222,0.4483127504587173,84.84,False,128,128,,
21,0.2730953949926929,90.57777777777778,0.4615238338708877,84.68,False,128,128,,
22,0.2607921272177588,90.94444444444444,0.443010139465332,85.32,False,128,128,,
23,0.2443295147015967,91.43777777777778,0.4686105579137802,85.4,False,128,128,,
24,0.2288788849149238,92.02222222222224,0.4941579699516296,83.88,False,128,128,,
25,0.2229767256331714,92.11333333333332,0.4659389495849609,85.1,False,128,128,,
26,0.2095000348053872,92.53777777777778,0.4842877715826034,84.64,False,128,128,,
27,0.1953177742067385,93.06444444444443,0.4219123363494873,86.4,False,128,128,,
28,0.1815471031110395,93.58222222222224,0.4119930386543274,86.34,False,128,128,,
29,0.173374558460306,93.89555555555556,0.4792467385530471,85.58,False,128,128,,
30,0.1630383499220691,94.25555555555556,0.4290403962135315,86.96,False,128,128,,
31,0.1535205069336701,94.59333333333332,0.4201852440834045,86.66,False,128,128,,
32,0.1441477773372422,94.94888888888887,0.4306889176368713,86.54,False,128,128,,
33,0.1342286955649879,95.23555555555556,0.4024913996458054,87.12,False,128,128,,
34,0.1258030636871064,95.7,0.4019304931163788,87.54,False,128,128,,
35,0.1205599011684006,95.88,0.4149855822324753,86.74,False,128,128,,
36,0.1110652747818014,96.16666666666669,0.4082743227481842,87.98,False,128,128,,
37,0.1061958959326148,96.32222222222222,0.3953921586275101,88.06,False,128,128,,
38,0.0979388642378828,96.69777777777776,0.3801091313362121,88.46,False,128,128,,
39,0.0952902681575241,96.79555555555557,0.4013645887374878,87.8,False,128,128,,
40,0.0891757452733476,97.03777777777778,0.3981837421655655,87.84,False,128,128,,
41,0.0874890655660155,97.10888888888888,0.4012881100177765,87.8,False,128,128,,
42,0.0824514573905617,97.26222222222222,0.3869054168462753,88.52,False,128,128,,
43,0.0784774708392267,97.45111111111112,0.3818781524896621,88.36,False,128,128,,
44,0.0781175430694764,97.48444444444443,0.3801992028951645,88.6,False,128,128,,
45,0.0741837452673776,97.59555555555556,0.3915616333484649,88.38,False,128,128,,
46,0.0725266728444363,97.64666666666666,0.393511164188385,88.22,False,128,128,,
47,0.0709169991526075,97.72888888888887,0.4002814888954162,88.66,False,128,128,,
48,0.0696678521026941,97.76222222222222,0.390296259522438,88.72,False,128,128,,
49,0.0694950897542929,97.76,0.3971554785966873,88.6,False,128,128,,
50,0.0676404203775084,97.87777777777778,0.3923204272985458,88.74,False,128,128,88.49,0.4392375200986862
