epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.1387815925280254,1.1387815925280254,0.549305510520935,86.94,86.94
2,0.47298017239570617,0.47298017239570617,0.3955144174575806,89.42,89.42
3,0.38232985712687173,0.38232985712687173,0.3413345067024231,90.52,90.52
4,0.342015919415156,0.342015919415156,0.31352318363189696,91.28,91.28
5,0.31664419937133786,0.31664419937133786,0.29444544820785523,91.76,91.76
6,0.2972020770470301,0.2972020770470301,0.27850390248298645,92.15,92.15
7,0.2813753992875417,0.2813753992875417,0.2651679005622864,92.51,92.51
8,0.26782343095143635,0.26782343095143635,0.2523816336631775,92.67,92.67
9,0.25550163696606953,0.25550163696606953,0.2420939275741577,93.16,93.16
10,0.24439389560222627,0.24439389560222627,0.23272726702690125,93.51,93.51
