epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.169759986114502,1.169759986114502,0.5499927742004395,87.06,87.06
2,0.47225410644213356,0.47225410644213356,0.3905771064758301,89.5,89.5
3,0.37792224027315774,0.37792224027315774,0.33656370096206667,90.65,90.65
4,0.336445428220431,0.336445428220431,0.30662858810424803,91.4,91.4
5,0.3101224427700043,0.3101224427700043,0.28626035451889037,91.88,91.88
6,0.2901640539169312,0.2901640539169312,0.26979648771286013,92.31,92.31
7,0.2737469258546829,0.2737469258546829,0.25621051940917966,92.86,92.86
8,0.260033251396815,0.260033251396815,0.24418065948486328,93.24,93.24
9,0.24778865643342335,0.24778865643342335,0.23518834562301635,93.46,93.46
10,0.23684748315811158,0.23684748315811158,0.22438747873306275,93.7,93.7
