epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.1585103742599487,1.1585103742599487,0.54341840133667,87.14,87.14
2,0.46821117343902585,0.46821117343902585,0.3890096601486206,89.69,89.69
3,0.37794131336212156,0.37794131336212156,0.3385163403511047,90.59,90.59
4,0.33797232286135354,0.33797232286135354,0.3098411766052246,91.28,91.28
5,0.31271419234275816,0.31271419234275816,0.29028913631439207,91.9,91.9
6,0.2933911248922348,0.2933911248922348,0.27400021276474,92.37,92.37
7,0.27765719950993856,0.27765719950993856,0.2614019373893738,92.7,92.7
8,0.2642005662202835,0.2642005662202835,0.2502084249973297,92.97,92.97
9,0.25231561019420623,0.25231561019420623,0.24035793347358703,93.32,93.32
10,0.24160201239585877,0.24160201239585877,0.23072295355796815,93.53,93.53
