epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.2367627312342326,1.2367627312342326,0.5813956227302551,86.41,86.41,SAM_rho_0.2,1
2,0.4889632240772247,0.4889632240772247,0.4022337892532349,89.59,89.59,SAM_rho_0.2,2
3,0.3841764734903971,0.3841764734903971,0.343080212688446,90.85,90.85,SAM_rho_0.2,3
4,0.3375494319915771,0.3375494319915771,0.307365003490448,91.67,91.67,SAM_rho_0.2,4
5,0.3078738004525502,0.3078738004525502,0.2838610664367675,92.33,92.33,SAM_rho_0.2,5
6,0.2855186227957407,0.2855186227957407,0.2653851478099823,92.64,92.64,SAM_rho_0.2,6
7,0.2672697839101156,0.2672697839101156,0.2501337905883789,93.12,93.12,SAM_rho_0.2,7
8,0.2524691537062327,0.2524691537062327,0.2376151608943939,93.47,93.47,SAM_rho_0.2,8
9,0.2396683980067571,0.2396683980067571,0.2265471005916595,93.62,93.62,SAM_rho_0.2,9
10,0.228470692038536,0.228470692038536,0.2161046196460724,93.98,93.98,SAM_rho_0.2,10
