epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.1238563385645548,1.1238563385645548,0.5365734659194946,87.35,87.35
2,0.46836418997446694,0.46836418997446694,0.3896506220817566,89.64,89.64
3,0.38082985351880394,0.38082985351880394,0.3391947338104248,90.76,90.76
4,0.3415600634256999,0.3415600634256999,0.3126226282119751,91.26,91.26
5,0.31616636516253155,0.31616636516253155,0.29159304037094114,91.87,91.87
6,0.2971365522702535,0.2971365522702535,0.27519464993476866,92.28,92.28
7,0.2810405605713526,0.2810405605713526,0.26278454809188845,92.59,92.59
8,0.26729541591803235,0.26729541591803235,0.25124764671325683,92.87,92.87
9,0.25515176232655845,0.25515176232655845,0.2422595845222473,93.12,93.12
10,0.24434810173511506,0.24434810173511506,0.23120003786087037,93.44,93.44
