epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.1305753584225973,1.1305753584225973,0.5441034195899963,86.89,86.89,SAM_rho_0.05,1
2,0.4713652443726857,0.4713652443726857,0.3894008942604064,89.63,89.63,SAM_rho_0.05,2
3,0.3803813257694244,0.3803813257694244,0.3384790518760681,90.67,90.67,SAM_rho_0.05,3
4,0.3398486696243286,0.3398486696243286,0.3102504076957703,91.22,91.22,SAM_rho_0.05,4
5,0.3140722984949747,0.3140722984949747,0.2913334862709045,91.76,91.76,SAM_rho_0.05,5
6,0.2947311108430226,0.2947311108430226,0.27442003698349,92.14,92.14,SAM_rho_0.05,6
7,0.2788599279403687,0.2788599279403687,0.2629478921413422,92.48,92.48,SAM_rho_0.05,7
8,0.2652659471114476,0.2652659471114476,0.2508982365131378,92.8,92.8,SAM_rho_0.05,8
9,0.2530773189544678,0.2530773189544678,0.2398736038208007,93.06,93.06,SAM_rho_0.05,9
10,0.2421309981028239,0.2421309981028239,0.2299298605442047,93.41,93.41,SAM_rho_0.05,10
