epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.1221093893845877,1.1221093893845877,0.542835457611084,86.85,86.85,SAM_rho_0.01,1
2,0.4708442767302195,0.4708442767302195,0.3902218916893005,89.63,89.63,SAM_rho_0.01,2
3,0.3808918814341227,0.3808918814341227,0.3397593933105469,90.53,90.53,SAM_rho_0.01,3
4,0.3411593165397644,0.3411593165397644,0.3125422222137451,91.03,91.03,SAM_rho_0.01,4
5,0.3160526209513346,0.3160526209513346,0.2934038471221923,91.55,91.55,SAM_rho_0.01,5
6,0.2973978072166442,0.2973978072166442,0.2784745460510254,92.02,92.02,SAM_rho_0.01,6
7,0.2819965398947398,0.2819965398947398,0.2654499744415283,92.29,92.29,SAM_rho_0.01,7
8,0.2690092345396677,0.2690092345396677,0.2550955861091614,92.69,92.69,SAM_rho_0.01,8
9,0.2571970743020375,0.2571970743020375,0.2451543758392333,93.0,93.0,SAM_rho_0.01,9
10,0.2467078518470128,0.2467078518470128,0.2358081003665924,93.2,93.2,SAM_rho_0.01,10
