epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.218888425954183,1.218888425954183,0.5766780615806579,86.32,86.32
2,0.49069926788012186,0.49069926788012186,0.40119450244903565,89.51,89.51
3,0.38671692276000974,0.38671692276000974,0.3410597131729126,90.74,90.74
4,0.34092520650227864,0.34092520650227864,0.30862633123397826,91.57,91.57
5,0.31203530775705973,0.31203530775705973,0.2863573384284973,92.07,92.07
6,0.29030565724372864,0.29030565724372864,0.26894015703201296,92.42,92.42
7,0.272778767379125,0.272778767379125,0.25299952216148375,92.84,92.84
8,0.2576480188369751,0.2576480188369751,0.24122052788734435,93.22,93.22
9,0.24470743821461996,0.24470743821461996,0.22900354523658753,93.44,93.44
10,0.23307319753170014,0.23307319753170014,0.21929936771392822,93.72,93.72
