epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.126347571849823,1.126347571849823,0.540984833908081,87.17,87.17
2,0.46799545310338336,0.46799545310338336,0.39249827842712404,89.48,89.48
3,0.3800564043045044,0.3800564043045044,0.34068523988723753,90.46,90.46
4,0.3399854535897573,0.3399854535897573,0.31298344955444335,91.19,91.19
5,0.31456852300961813,0.31456852300961813,0.29328466873168946,91.71,91.71
6,0.29533946415583295,0.29533946415583295,0.2772958420753479,92.13,92.13
7,0.2800936105887095,0.2800936105887095,0.26422241616249087,92.52,92.52
8,0.2669390027284622,0.2669390027284622,0.2535947082519531,92.85,92.85
9,0.25543501993815104,0.25543501993815104,0.2439065954208374,93.2,93.2
10,0.2450903135617574,0.2450903135617574,0.2345339437007904,93.42,93.42
