epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.1314343603134156,1.1314343603134156,0.5478235614776611,87.15,87.15
2,0.4723372307618459,0.4723372307618459,0.3954479969024658,89.49,89.49
3,0.38249543868700664,0.38249543868700664,0.3433893175125122,90.42,90.42
4,0.3428581459283829,0.3428581459283829,0.31502617979049685,91.13,91.13
5,0.31772093642552696,0.31772093642552696,0.29574049196243285,91.57,91.57
6,0.2989559475501378,0.2989559475501378,0.2800515085697174,92.13,92.13
7,0.2837940576235453,0.2837940576235453,0.26692721705436706,92.39,92.39
8,0.2707379928588867,0.2707379928588867,0.2559072269439697,92.75,92.75
9,0.25871429686546327,0.25871429686546327,0.24622226500511168,93.08,93.08
10,0.24815558499495188,0.24815558499495188,0.23674114441871644,93.29,93.29
