epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.1460606151898702,1.1460606151898702,0.5467098971366883,87.33,87.33,SAM_rho_0.01,1
2,0.470029471206665,0.470029471206665,0.3925497592926025,89.77,89.77,SAM_rho_0.01,2
3,0.3785989686091741,0.3785989686091741,0.3396995853424072,90.71,90.71,SAM_rho_0.01,3
4,0.3376241560300191,0.3376241560300191,0.3104335388183594,91.53,91.53,SAM_rho_0.01,4
5,0.3118200114568074,0.3118200114568074,0.2906186289787292,91.9,91.9,SAM_rho_0.01,5
6,0.2924269024531046,0.2924269024531046,0.2749780866622924,92.31,92.31,SAM_rho_0.01,6
7,0.2765818419933319,0.2765818419933319,0.2616788109302521,92.62,92.62,SAM_rho_0.01,7
8,0.2631498635689417,0.2631498635689417,0.2497723868370056,92.98,92.98,SAM_rho_0.01,8
9,0.2514860134204228,0.2514860134204228,0.2397566354751586,93.19,93.19,SAM_rho_0.01,9
10,0.2407709041515986,0.2407709041515986,0.2302433850765228,93.48,93.48,SAM_rho_0.01,10
