epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.1559213872114817,1.1559213872114817,0.555971540737152,86.9,86.9
2,0.4767271474997203,0.4767271474997203,0.39613944349288943,89.52,89.52
3,0.383494837808609,0.383494837808609,0.34265333042144774,90.56,90.56
4,0.34176415492693585,0.34176415492693585,0.3126195062637329,91.21,91.21
5,0.3148729086558024,0.3148729086558024,0.29155658016204833,91.79,91.79
6,0.2947344970862071,0.2947344970862071,0.2745459042549133,92.26,92.26
7,0.27794544701576235,0.27794544701576235,0.2598694499969482,92.72,92.72
8,0.26338408416112263,0.26338408416112263,0.24779708924293517,93.15,93.15
9,0.2505951051155726,0.2505951051155726,0.2366243505001068,93.5,93.5
10,0.23904083504676818,0.23904083504676818,0.2270768611907959,93.67,93.67
