epoch,train_loss,loss,test_loss,test_acc,val_acc
1,1.1513344083627064,1.1513344083627064,0.5443317657470703,86.73,86.73
2,0.4723838348865509,0.4723838348865509,0.3904841495513916,89.41,89.41
3,0.38140778495470684,0.38140778495470684,0.33822803287506104,90.6,90.6
4,0.34037296682993573,0.34037296682993573,0.31067208166122434,91.05,91.05
5,0.31469949405988057,0.31469949405988057,0.2897707197189331,91.66,91.66
6,0.29542184869448346,0.29542184869448346,0.2747273734092712,92.03,92.03
7,0.28003416612943016,0.28003416612943016,0.2611573888301849,92.41,92.41
8,0.2671156463464101,0.2671156463464101,0.2510059231758118,92.87,92.87
9,0.2555548496405284,0.2555548496405284,0.24144174041748045,93.17,93.17
10,0.24500599625905356,0.24500599625905356,0.2333995484828949,93.48,93.48
